Number, ID, Units, Absence, Name, Email, Program, Level
1,1111,4,0,"SmithJohn",smithj@cpts122.edu,CS,Freshman
2,8147,4,0,"BeckSara",sara@cpts122.edu,EE,Junior
3,1121,4,0,"LeinartTimothy",tim@cpts122.edu,EE,Junior
4,4478,0,0,"ArtBruce",bart@cpts122.edu,CPTE,Freshman
5,2121,4,0,"JamesHannah",jameshannah@cpts122.edu,CS,Freshman
6,5530,4,0,"PaytonElla",epayton@cpts122.edu,CPTE,Graduate
7,7759,4,0,"SamTheo",samt@cpts122.edu,EE,Sophomore
8,1122,4,0,"SmithJane",jane@cpts122.edu,CS,Sophomore
9,1222,0,0,"WillisBruce",brucewillis@cpts122.edu,CS,Sophomore
10,3255,4,0,"MortKris",mort@cpts122.edu,CS,Senior
1,1111,4,0,"SmithJohn",smithj@cpts122.edu,CS,Freshman
2,8147,4,0,"BeckSara",sara@cpts122.edu,EE,Junior
3,1121,4,0,"LeinartTimothy",tim@cpts122.edu,EE,Junior
4,4478,0,0,"ArtBruce",bart@cpts122.edu,CPTE,Freshman
5,2121,4,0,"JamesHannah",jameshannah@cpts122.edu,CS,Freshman
6,5530,4,0,"PaytonElla",epayton@cpts122.edu,CPTE,Graduate
7,7759,4,0,"SamTheo",samt@cpts122.edu,EE,Sophomore
8,1122,4,0,"SmithJane",jane@cpts122.edu,CS,Sophomore
9,1222,0,0,"WillisBruce",brucewillis@cpts122.edu,CS,Sophomore
10,3255,4,0,"MortKris",mort@cpts122.edu,CS,Senior
1,1111,4,4,"SmithJohn",smithj@cpts122.edu,CS,Freshman
2,8147,4,1,"BeckSara",sara@cpts122.edu,EE,Junior
3,1121,4,4,"LeinartTimothy",tim@cpts122.edu,EE,Junior
4,4478,0,1,"ArtBruce",bart@cpts122.edu,CPTE,Freshman
5,2121,4,4,"JamesHannah",jameshannah@cpts122.edu,CS,Freshman
6,5530,4,3,"PaytonElla",epayton@cpts122.edu,CPTE,Graduate
7,7759,4,3,"SamTheo",samt@cpts122.edu,EE,Sophomore
8,1122,4,2,"SmithJane",jane@cpts122.edu,CS,Sophomore
9,1222,0,3,"WillisBruce",brucewillis@cpts122.edu,CS,Sophomore
10,3255,4,2,"MortKris",mort@cpts122.edu,CS,Senior
0,0,0,0,,,,
